Rank,Name,Address,Price,Rating,Coordinate
1,Patricias Coffee Brewers,"Cnr Little Bourke & Little William St., Melbourne, Victoria Australia",1,4.5,"-37.814609767594476, 144.95821063537312"
2,Hopetoun Tea Rooms,"421 Bourke St Hopetoun House, Melbourne, Victoria 3000 Australia",3,4.5,"-37.8148462195039, 144.96162307677477"
3,Brother Baba Budan,"359 Little Bourke St Cbd, Melbourne, Victoria 3000 Australia",1,4.5,"-37.813500096006194, 144.96207515265738"
4,Ganache Chocolate,"245 Collins St, Melbourne, Victoria 3000 Australia",3,4.5,"-37.81594929521874, 144.96572230628232"
5,Koko Black Chocolate,"52 Collins St, Melbourne, Victoria 3000 Australia",2.5,4.5,"-37.81538034775724, 144.9663257827951"
6,Dukes Coffee Roasters,"247 Flinders Lane, Melbourne, Victoria 3000 Australia",1,4.5,"-37.81678710988773, 144.96615982073592"
7,Seven Seeds,"114 Berkley Street Carlton, Melbourne, Victoria Australia",2,4.5,"-37.80285536579737, 144.959034854947"
8,Manchester Press,"8 Rankins Lane, Melbourne, Victoria 3000 Australia",2.5,4,"-37.81386405201779, 144.96213913400936"
9,Vertue Coffee Roasters,"8 Raffa Place, Melbourne, Victoria 3053 Australia",2,4.5,"-37.79765494510638, 144.96828857826713"
10,Caffe e Torta,"314 Little Collins St, Melbourne, Victoria 3000 Australia",2,4,"-37.81491023028417, 144.964181533385"
11,Proud Mary Cafe,"172 Oxford St, Collingwood, Yarra, Victoria 3066 Australia",2,4.5,"-37.802304814763275, 144.9851781391939"
12,Industry Beans,"70-76 Westgarth St, Fitzroy, Yarra, Victoria 3065 Australia",2,4.5,"-37.79477599621158, 144.97814888825064"
13,Cafe Excello,"99 Spring St, Melbourne, Victoria 3000 Australia",2.5,4,"-37.812477127296674, 144.97336662217592"
14,Shortstop Coffee & Donuts ,"12 Sutherland St, Melbourne, Victoria 3000 Australia",2,4.5,"-37.81121643927395, 144.9609890011651"
15,Laurent Bakery,"306 Little Collins St, Melbourne, Victoria 3000 Australia",1,4,"-37.81491932360181, 144.96445399254225"
16,Market Lane Coffee,"109-111 Therry St, Melbourne, Victoria 3000 Australia",2,4.5,"-37.80617974892708, 144.95804557798562"
17, Little Cupcakes,"Degraves Street Shop 7, Melbourne, Victoria 3000 Australia",1,4.5,"-37.81757116121335, 144.9658263317985"
18,The League of Honest Coffee,"8 Exploration Lane, Melbourne, Victoria 3000 Australia",2,4.5,"-37.80921908100318, 144.96848770399149"
19,Coffee Exchange,"Shops 9 1 Little Collins St, Melbourne, Victoria 3000 Australia",2.5,4.5,"-37.812566572148114, 144.97327179172422"
20,Olivier's Cafe,"16 Spencer St, Melbourne, Victoria 3000 Australia",1,4.5,"-37.820492302359504, 144.95522105590643"
21,Noisette,"84 Bay St, Melbourne, Victoria 3207 Australia",2,4.5,"-37.84160873304111, 144.93969646529504"
22,Roasting Warehouse,"19-21 Leveson St, Melbourne, Victoria 3051 Australia",2,4.5,"-37.804412772874244, 144.95059820840757"
23,Cup of Truth,"12 Campbell Arc Degraves Street Subway, Melbourne, Victoria 3000 Australia",2.5,5,"-37.81753582760064, 144.96597384804156"
24,Journal,"Shop 1 G 253 Flinders Lane Lower Ground Floor 1, Melbourne, Victoria 3000 Australia",1,4,"-37.81686272098215, 144.96580676867802"
25,Brunetti Oro 1956 - Myer Melbourne,"314-336 Bourke St, Melbourne, Victoria 3000 Australia",2,4,"-37.81339114083856, 144.96380727969066"
26,Little Bean Blue,"15 Little Collins St, Melbourne, Victoria 3000 Australia",1,4.5,"-37.8125538502126, 144.97311956645987"
27,Chapter House Coffee,"4/209 Flinders Lane, Melbourne, Victoria 3000 Australia",1,4.5,"-37.81629367097311, 144.96780281962614"
28,Cento Mani,"140 Flinders St, Melbourne, Victoria 3000 Australia",2,4.5,"-37.81643860951312, 144.97034610400138"
29,Toby's Estate,"325 Flinders Lane, Melbourne, Victoria 3000 Australia",1,4.5,"-37.77492403544092, 144.96367395220628"
30,Brioche by Philip,"99 Queen St, Melbourne, Victoria 3000 Australia",1,4.5,"-37.81363432078844, 144.96867714065223"
