Rank,Name,Address,Price,Rating,Coordinate
1,QT Melbourne,"133 Russell St, Melbourne, Victoria 3000 Australia",289,4.5,"-37.81307042598313, 144.96818815422762"
2,Park Hyatt Melbourne,"1 Parliament Square off Parliament Place, Melbourne, Victoria 3002 Australia",486,4.5,"-37.81125252400837, 144.97646473888545"
3,"The Langham, Melbourne","1 Southgate Ave, Melbourne, Victoria 3006 Australia",236,4.5,"-37.82048692797099, 144.9657381695701"
4,Ovolo Laneways,"19 Little Bourke St, Melbourne, Victoria 3000 Australia",206,4.5,"-37.810432826354145, 144.97201362724067"
5,Avani Melbourne Central Residences,"60 A'Beckett St, Melbourne, Victoria 3000 Australia",232,4.5,"-37.808469233169006, 144.9614926118985"
6,Q Squared Serviced Apartments,"115 Chetwynd Street, Melbourne, Victoria 3051 Australia",300,4.5,"-37.802887506435205, 144.95244648306274"
7,Radisson on Flagstaff Gardens Melbourne,"380 William Street, Melbourne, Victoria 3000 Australia",226,5,"-37.81007014913188, 144.95613942539214"
8,Sheraton Melbourne Hotel,"27 Little Collins St, Melbourne, Victoria 3000 Australia",259,4.5,"-37.81254518389523, 144.97258218121448"
9,Crown Metropol Melbourne,"8 Whiteman St, Melbourne, Victoria 3006 Australia",268,4.5,"-37.823224810623664, 144.95807536772156"
10,Grand Hyatt Melbourne,"123 Collins Street, Melbourne, Victoria 3000 Australia",349,4.5,"-37.81503648990099, 144.97004068121458"
11,Quest Flemington Central,"1 Ascot Vale Road Flemington, Melbourne, Victoria 3031 Australia",198,4.5,"-37.786541263294374, 144.92110809470677"
12,Pan Pacific Melbourne,"2 Convention Centre Place South Wharf, Melbourne, Victoria 3006 Australia",328,4.5,"-37.824654986066754, 144.95113865422815"
13,Lancemore Crossley St.,"51 Little Bourke St, Melbourne, Victoria 3000 Australia",287,4.5,"-37.81086182748679, 144.9710316523788"
14,Quest Jolimont,"153-155 Wellington Pde S, Melbourne, Victoria 3002 Australia",162,4.5,"-37.816531793506, 144.97956966772125"
15,Quest Docklands,"750 Bourke St Docklands, Melbourne, Victoria 3008 Australia",213,4.5,"-37.818129722017105, 144.94793844073442"
16,Atlantis Hotel,"300 Spencer St, Melbourne, Victoria 3000 Australia",106,3.5,"-37.81344303782147, 144.95179812354345"
17,Miami Hotel Melbourne,"13 Hawke St, Melbourne, Victoria 3003 Australia",227,4,"-37.805803490888216, 144.9485958272405"
18,ibis Melbourne Hotel and Apartments,"15-21 Therry St, Melbourne, Victoria 3000 Australia",95,4,"-37.806702179966486, 144.9612446793655"
19,Quay West Suites Melbourne,"26 Southgate Ave Southbank, Melbourne, Victoria 3006 Australia",296,4.5,"-37.82004069930792, 144.96717922724108"
20,Rydges Melbourne,"186 Exhibition St, Melbourne, Victoria 3000 Australia",165,4,"-37.811057956464296, 144.97069521189863"
21,Milano Serviced Apartments,"8 Franklin St, Melbourne, Victoria 3000 Australia",116,3.5,"-37.80722752426577, 144.96210845422738"
22,Jasper Boutique Hotel,"489 Elizabeth St, Melbourne, Victoria 3000 Australia",135,4,"-37.80732084788506, 144.95990217141818"
23,The Great Southern Hotel Melbourne,"44 Spencer St, Melbourne, Victoria 3000 Australia",121,3,"-37.81967132865721, 144.9547961486819"
24,Arrow On Swanston,"488 Swanston St Carlton, Melbourne, Victoria 3053 Australia",116,3,"-37.80540292028681, 144.96335653888525"
25,W Melbourne,"408 Flinders Lane, Melbourne, Victoria 3000 Australia",439,4,"-37.81808104654815, 144.96035884073444"
26,Pegasus Apart'Hotel,"206 A'Beckett Street, Melbourne, Victoria 3000 Australia",132,4,"-37.810030511758896, 144.95708145237893"
27,Causeway 353 Hotel,"353 Little Collins St, Melbourne, Victoria 3000 Australia",135,4,"-37.81556858864808, 144.96302993703702"
28,Hotel Lindrum Melbourne - MGallery by Sofitel,"26 Flinders St, Melbourne, Victoria 3000 Australia",336,4.5,"-37.81529147975209, 144.97362806772117"
29,City Edge Box Hill Apartment Hotel,"1 Elland Ave Box Hill, Melbourne, Victoria 3128 Australia",124,3.5,"-37.81681166189265, 145.12343671189888"
30,Albert Heights Serviced Apartments,"83 Albert St, Melbourne, Victoria 3002 Australia",310,3.5,"-37.81059259816474, 144.98533695607628"
31,Crown Towers Melbourne,"8 Whiteman St, Melbourne, Victoria 3006 Australia",339,4.5,"-37.82223630265993, 144.96002056846487"
