Rank,Name,Address,Price,Rating,Cuisine,Coordinate
1,Foglia di Fico,"585 La Trobe St (Spencer St entrance), Melbourne, Victoria 3000 Australia",2,5,"Italian, European, Vegetarian Friendly","-37.81313342983453, 144.95176752719402"
2,Da Guido La Pasta,"130 Lygon St Carlton, Melbourne, Victoria 3053 Australia",2,4.5,"Italian, Mediterranean, European","-37.80374326184385, 144.96668104253905"
3,Scopri,"191 Nicholson St Carlton, Melbourne, Victoria 3053 Australia",3,5,"Italian, Vegetarian Friendly, Vegan Options","-37.795530254634116, 144.974925898357"
4,11 Inch Pizza,"Equitable Place 353-359 Little Collins Street, Melbourne, Victoria 3000 Australia",1,4.5,"Italian, Pizza, Vegetarian Friendly","-37.815422415175654, 144.96311441370293"
5,Da Guido 365,"365 Little Collins St, Melbourne, Victoria 3000 Australia",2,4.5,"Italian, Pizza, Mediterranean","-37.81553831802981, 144.96278748486677"
6,Geppetto Trattoria,"78A Wellington Pde, Melbourne, Victoria 3002 Australia",2,4.5,"Italian, Vegetarian Friendly, Vegan Options","-37.81627826623233, 144.98727278115786"
7,Hochi Mama,"35 Little Bourke St, Melbourne, Victoria 3000 Australia",2,4.5,"Asian, Thai, Fusion","-37.81013626488914, 144.97180196340534"
8,Sud Food and Wine,"219 King St, Melbourne, Victoria 3000 Australia",2,4.5,"Italian, Mediterranean, Vegetarian Friendly","-37.81492968964014, 144.9548954695213"
9,Kazuki's,"121 Lygon St Carlton, Melbourne, Victoria 3053 Australia",4,4.5,"Contemporary, Fusion, Vegetarian Friendly","-37.80399491721287, 144.96604554068455"
10,Straight Outta Saigon,"138 Russell Street Ground level, Melbourne, Victoria 3000 Australia",2,4.5,"Asian, Fusion, Vietnamese","-37.81289506067854, 144.9682780965031"
11,Cucinetta,"U 4 3 Murphy St South Yarra, Melbourne, Victoria 3141 Australia",2,4.5,"Italian, Mediterranean, European","-37.83813232646152, 144.990302015558"
12,Il Bacaro Cucina e Bar,"68-170 Little Collins St 168-170 Little Collins St, Melbourne, Victoria 3000 Australia",4,4.5,"Italian, Mediterranean, Vegetarian Friendly","-37.81372756599038, 144.96800472719406"
13,Eau De Vie,"1 Malthouse Lane, Melbourne, Victoria 3000 Australia",3,4.5,"Bar, Australian, Vegetarian Friendly","-37.81561381565932, 144.97154448301214"
14,El Rincon,"69 Victoria Street Adjacent to the Queen Victoria Markets, Melbourne, Victoria 3000 Australia",3,4.5,"Mediterranean, European, Spanish","-37.80604345378886, 144.95874674894617"
15,Red Spice Road,"141 Queen St, Melbourne, Victoria 3000 Australia",2,4.5,"Asian, Thai, Vegetarian Friendly","-37.81519181731379, 144.9606015965032"
16,The French Brasserie,"2 Malthouse Lane, Melbourne, Victoria 3000 Australia",4,4.5,"French, European, Vegetarian Friendly","-37.81513486857519, 144.9715540560305"
